date,time,x-edge-location,sc-bytes,c-ip,cs-method,cs\(Host),cs-uri-stem,sc-status,cs\(Referer),cs\(User-Agent),cs-uri-query,cs\(Cookie),x-edge-result-type,x-edge-request-id,x-host-header,cs-protocol,cs-bytes,time-taken,x-forwarded-for,ssl-protocol,ssl-cipher,x-edge-response-result-type,cs-protocol-version,fle-status,fle-encrypted-fields,c-port,time-to-first-byte,x-edge-detailed-result-type,sc-content-type,sc-content-len,sc-range-start,sc-range-end
2026-03-26,20:44:39,ORD58-P14,335,205.210.31.48,GET,d331voxr1fhoir.cloudfront.net,/,404,-,Hello%20from%20Palo%20Alto%20Networks%20find%20out%20more%20about%20our%20scans%20in%20https://docs-cortex.paloaltonetworks.com/r/1/Cortex-Xpanse/Scanning-activity,-,-,Error,Unws-YSuhehKIbMYMNrbXHBq_4B4OqoeMDmfWHwn9x2JDqOjlijRKA\=\=,d331voxr1fhoir.amplifyapp.com,https,209,0.021,-,TLSv1.3,TLS_AES_128_GCM_SHA256,Error,HTTP/1.1,-,-,64052,0.021,Error,-,0,-,-
2026-03-26,21:24:18,ATL59-P18,614,205.210.31.91,GET,d331voxr1fhoir.cloudfront.net,/,301,-,Hello%20from%20Palo%20Alto%20Networks%20find%20out%20more%20about%20our%20scans%20in%20https://docs-cortex.paloaltonetworks.com/r/1/Cortex-Xpanse/Scanning-activity,-,-,Redirect,lEibMC9GUvXTvcT4IRmGoXVcMkZzcHxu8KpWqxBiMSJe84AtF0v89Q\=\=,www.d331voxr1fhoir.amplifyapp.com,http,213,0.003,-,-,-,Redirect,HTTP/1.1,-,-,58950,0.003,Redirect,text/html,167,-,-
2026-03-26,21:00:52,ATL59-P18,335,147.185.132.18,GET,d331voxr1fhoir.cloudfront.net,/,404,-,Hello%20from%20Palo%20Alto%20Networks%20find%20out%20more%20about%20our%20scans%20in%20https://docs-cortex.paloaltonetworks.com/r/1/Cortex-Xpanse/Scanning-activity,-,-,Error,lVJY4N0XSY7HEebzXc6fxAl5SQCOtt0Ah_aXUqaby3HrjPuZhZ8kdQ\=\=,www.d331voxr1fhoir.amplifyapp.com,https,213,0.047,-,TLSv1.3,TLS_AES_128_GCM_SHA256,Error,HTTP/1.1,-,-,60476,0.047,Error,-,0,-,-
